hexsha,target,predicate,generalized_target,generalized_predicate
07161b2416f7,A call to function usbnet_get_endpoints,The return value must be checked for error before proceeding.,function that Retrieve endpoints from a device,The return value must be checked for error before proceeding with further operations.
b505063910c1,A call to function debugfs_lookup that returns a dentry pointer,"The returned dentry must have dput() called on it to prevent memory leak, or debugfs_lookup_and_remove() should be used instead",function that Return a reference requiring explicit cleanup,The returned reference must have its corresponding cleanup function called to prevent resource leak
a508e33956b5,A call to function of_parse_phandle that returns a device node pointer with incremented refcount.,The returned device node pointer must be released with of_node_put() when done to avoid refcount leak.,function that returns an object with incremented reference count,The returned object must be released with the corresponding decrement function when no longer needed to avoid reference count leak
e3862093ee93,A call to function of_phy_find_device,The reference count must be decremented with phy_device_free after removing the PHY device.,function that Find and remove device references,The reference count must be decremented after removing the device.
fa0308134d26,A call to function dma_map_single,The return value must be checked using dma_mapping_error before proceeding.,function that Map a device memory region,The mapping result must be validated using a dedicated error-checking function before further use.
10d6bdf53290,A call to function of_find_device_by_node,The reference must be released with put_device if the device is no longer needed.,function that Obtain a device reference from a device node,The obtained device reference must be released when no longer needed.
2985b1844f3f,A call to function kstrndup to allocate a string.,The allocated resource must be released with kfree before options is set to NULL.,function that Allocate memory for a string.,The allocated memory must be properly released before the function exits.
99ca0b57e49f,A call to function pci_disable_device,The pci_disable_device function must not be called if the device is already disabled.,function that Disable a PCI device,The disable function must not be called if the device is already disabled.
42378a9ca553,A call to function krealloc_array,The old allocation must be freed with kfree if the new allocation fails.,function that Resize an array allocation.,"If the reallocation fails, the previous allocation must be released."
f89672cc3681,A check on the variable count in the function rproc_coredump_write.,The count must be checked to ensure it is greater than 0 and less than or equal to the size of the buffer.,function that Validate input size for buffer operations.,The input size must be checked to ensure it is within valid bounds (greater than 0 and less than or equal to the buffer size).
f0a4bc38a12f,A call to of_clk_get_by_name that acquires a clock reference,The clock reference must be automatically released on probe errors by using devm_get_clk_from_child instead of of_clk_get_by_name,function that Acquires a resource that requires manual cleanup in probe functions,The resource acquisition should use device-managed variants to ensure automatic cleanup on probe failure
c158cf914713,A call to function fwnode_get_named_child_node,The returned fwnode pointer must be released with fwnode_handle_put.,function that Retrieve a named child node from a device structure.,The returned node reference must be properly released to prevent memory leaks.
